revenue_energy,revenue_fcas,capacity_payment,cost_degradation,imbalance_penalty,prediction_penalty
40823.87271937033,11333.17817092077,18853.84567791302,313.2891328673382,1286.9114228181015,0.0
40925.47303021762,11214.504216597763,18565.202721491733,321.0968977886297,1170.694801920213,0.0
40719.536462080476,11344.32563745967,18777.105325688983,313.2866056561939,1184.6526442723523,0.0
40953.81393036422,11382.524626547633,18939.27361826022,317.36659900546357,1254.2424852506356,0.0
40873.35760373565,11263.788431338045,19114.111409093864,314.4470645052652,1305.74230975062,0.0
40837.21962847006,11238.870288778677,19124.383561643837,310.3884982263425,1062.0133829362405,0.0
40826.94617543251,11178.281440308445,18809.594672085354,315.5769949575771,1243.0561864251752,0.0
40785.13061436647,11158.207281420728,18879.13600760997,311.77889853522515,1222.967016314708,0.0
40891.0734477672,11117.064007491272,19088.619762067185,313.52609450548323,1263.9390427285027,0.0
40963.60135072782,11459.969053854667,18950.25652905408,320.1971653784297,930.8305481177646,0.0
40801.09693954219,11278.708073190563,19095.989467120085,308.98028501181227,1156.0505832412623,0.0
41135.635956498154,11442.605323181182,19124.383561643837,324.11553132505355,1275.0941444783962,0.0
40821.30541682431,11299.3346259824,18868.86537891045,313.9023187221984,1301.8583467263659,0.0
41071.070837105566,11414.297747316805,19081.084711728057,321.17386129555933,1347.2002092283017,0.0
40905.74015424196,11269.78858554947,19124.383561643837,312.27775857811076,1098.4091874121052,0.0
41095.22386446097,11349.539901361308,18973.266792753668,324.1826134535989,1334.1407317922722,0.0
41027.10811205572,11510.225798883339,19124.383561643837,320.8767917833766,1136.0876504608163,0.0
40948.09264310315,11205.180752405595,18778.230629551574,318.368208947385,1178.623045344716,0.0
40937.88358839622,11367.415238439215,18764.394745641566,320.51885917503654,1057.4526989460471,0.0
40928.279720125625,11288.71923919752,19002.771766912327,313.9656147979482,1028.7970793515108,0.0
40880.206998941794,11264.370043374212,18820.565194559716,316.2657140924959,1225.1599291707048,0.0
41060.273921638,11323.145697767442,18928.123480152834,323.01448146315596,1088.8180201440655,0.0
41073.48089669935,11372.138802288026,18909.837534429178,323.7689197094029,1128.2080060137398,0.0
41166.05136454713,11555.37485503597,19070.361175429534,327.22771503356483,1235.4808726871788,0.0
41024.12416496293,11264.999183567517,18744.15741830537,321.1236900178473,1403.863036367208,0.0
41287.05853921507,11613.337962016853,19124.383561643837,331.3412364897454,1001.5596274157886,0.0
41026.55391920893,11627.20471251249,19124.383561643837,320.39307681708704,1166.8791940876235,0.0
41015.185006691165,11316.107219056497,18773.148933171593,323.96537977933247,1160.2636362405963,0.0
41355.3221956904,11510.531872209192,19124.383561643837,329.64970205028607,1432.9009511099184,0.0
41077.323161401044,11292.61126023514,18998.819636092605,320.8543023072533,1144.5985327163767,0.0
41364.64682932136,11586.90918576519,19103.95991353072,334.84091352290955,970.8999179994867,0.0
41234.36658383321,11166.19179694508,18948.067025769567,325.72560692195395,1342.9829556359934,0.0
41190.25370997993,11425.2783759497,19051.71513938482,326.9704760098128,1068.2231360549044,0.0
41196.22980063713,11499.803148309567,19124.383561643837,324.1651611222456,1165.1914111742617,0.0
40974.31448868067,11130.950694857942,18945.158199814297,318.1377805892756,1165.9598090883967,0.0
41113.95819578999,11187.47849762994,18969.300176284763,322.3307632436195,1453.3809066475906,0.0
40993.83289224832,11271.090819572402,18838.358816803317,319.46397326253526,1169.8010732535172,0.0
41081.65852182108,11135.58363230199,19013.082622434387,320.7210359297192,986.5849228520245,0.0
41338.48447653097,11364.609508134998,18984.18517293886,333.1067390848189,1251.45516303982,0.0
41128.36663333393,11205.162428236083,19007.30150961026,321.9314239239165,1218.132992711271,0.0
41241.10287584974,11284.95099405064,19018.667032025485,327.12121831106697,1141.7100526049817,0.0
41216.35146695522,11506.77723877337,19059.638183172727,328.331071465962,1487.5336471852672,0.0
40962.86978956765,11317.5053307501,18597.836512436676,324.90650964454977,1181.6197629899368,0.0
41252.08697531105,11594.446229126073,19084.423107410552,329.4089785234305,1213.2401818994374,0.0
40841.1947163882,11039.553540409423,18798.810055475766,312.3912914945062,1174.5151036578484,0.0
40890.91481855895,11419.558682525028,18969.089953662504,316.78881131640173,1177.8131350654776,0.0
41088.43002213516,11261.565228828265,18884.62441966184,322.81776113446324,1336.9704795431549,0.0
41083.956707612866,11339.846145741638,18997.110219790073,320.6273573793965,1158.5041285509217,0.0
40966.3451717116,11279.531094869475,19124.383561643837,314.97991386527667,1457.6058047508632,0.0
41150.8481562607,11236.502110786907,18673.590106014468,326.65544951733926,1015.4187780153576,0.0
40976.146594768754,11307.652584131101,19051.104520896242,318.5073234395373,1319.9384355376453,0.0
41155.13154116412,11315.281675005393,19124.383561643837,321.39520003077587,1334.4031464465063,0.0
40911.756632618126,11166.97660628558,18681.33999588024,317.39817436465177,1352.3564843703175,0.0
40907.41522514424,11025.687917076146,18914.988991608345,315.98795684766554,1612.9441903830045,0.0
41042.02112948207,11305.185136980974,19062.094596098992,319.2549206827383,1218.5677698043658,0.0
